property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/17/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/18/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/19/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/20/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/21/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/22/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/23/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/24/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/25/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/26/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/27/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/28/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/29/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1751,1751,06/30/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1730,1751,07/01/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1730,1751,07/02/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1730,1751,07/03/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1685,1706,07/04/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1685,1706,07/05/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1685,1706,07/06/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1685,1706,07/07/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1685,1706,07/08/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1685,1706,07/09/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1685,1706,07/10/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1685,1706,07/11/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1678,1699,07/12/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1678,1699,07/13/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1678,1699,07/14/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1678,1699,07/15/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1724,1724,07/16/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1718,1718,07/17/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/18/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/19/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/20/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/21/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/22/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/23/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/24/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/25/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/26/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,07/27/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,07/28/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,07/29/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,07/30/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,07/31/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,08/01/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,08/02/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,08/03/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,08/04/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1681,1698,08/05/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,08/06/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,08/07/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,08/08/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,08/09/2023,False
Cortland Sunbury,"Columbus, OH",2002,2x2.5,1126,1698,1698,08/10/2023,False
