property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2754,2754,07/22/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,07/23/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,07/24/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,07/25/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,07/26/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,07/27/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,07/28/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,07/29/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,07/30/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2754,2754,07/31/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,08/01/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,08/02/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2760,2760,08/03/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2740,2740,08/04/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2740,2740,08/05/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2740,2740,08/06/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2740,2740,08/07/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2740,2740,08/08/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2710,2710,08/09/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2710,2710,08/10/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2710,2710,08/11/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2710,2710,08/12/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2710,2710,08/13/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2710,2710,08/14/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2846,2846,08/15/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2846,2846,08/16/2023,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2846,2846,08/17/2023,True
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2629,2629,05/31/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2629,2629,06/01/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2629,2629,06/02/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2632,2632,06/03/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2632,2632,06/04/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2632,2632,06/05/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2632,2632,06/06/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2647,2647,06/07/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2647,2647,06/08/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2647,2647,06/09/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2647,2647,06/10/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2647,2647,06/11/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2647,2647,06/12/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2647,2647,06/13/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2647,2647,06/14/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2658,2658,06/15/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2658,2658,06/16/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2658,2658,06/17/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2688,2688,06/18/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2688,2688,06/19/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2688,2688,06/20/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2688,2688,06/21/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2688,2688,06/22/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,06/23/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,06/24/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,06/25/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,06/26/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,06/27/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,06/28/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,06/29/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,06/30/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,07/01/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2677,2677,07/02/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2692,2692,07/03/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2692,2692,07/04/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2692,2692,07/05/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2692,2692,07/06/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2692,2692,07/07/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2692,2692,07/08/2024,False
Cortland Santos Flats,"Tampa-St. Petersburg-Clearwater, FL",1-102,3x2,1449,2692,2692,07/09/2024,False
