property,market,unit_name,unit_group,sqft,effective_price,gross_price,date,leased_rate
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1254,1296,12/09/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1254,1296,12/10/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1254,1296,12/11/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1264,1306,12/12/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1264,1306,12/13/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1264,1306,12/14/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1264,1306,12/15/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1264,1306,12/16/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1264,1306,12/17/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1264,1306,12/18/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1248,1306,12/19/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/20/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/21/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/22/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/23/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/24/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/25/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/26/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/27/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/28/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/29/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/30/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,12/31/2023,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,01/01/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1238,1296,01/02/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1223,1281,01/03/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1223,1281,01/04/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1223,1281,01/05/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1203,1261,01/06/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1203,1261,01/07/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1203,1261,01/08/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1203,1261,01/09/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1203,1261,01/10/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1203,1261,01/11/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1203,1261,01/12/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1203,1261,01/13/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1261,1261,01/14/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1261,1261,01/15/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1261,1261,01/16/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1291,1291,01/17/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1291,1291,01/18/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1291,1291,01/19/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1271,1271,01/20/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1271,1271,01/21/2024,False
Abbie Lakes,"Columbus, OH",3680,2x2,1032,1271,1271,01/22/2024,False
